0,0,0,0.0,0
0,2,2,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,1,1,0.0,0
3,2,2,0.0,0
2,2,2,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
1,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,2,2,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
3,3,2,0.0,0
1,2,1,1.0,1
2,2,1,0.0,0
0,0,0,1.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,4,4,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
1,1,1,0.0,0
0,2,2,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,0,0,2.0,1
1,0,1,1.0,0
3,3,3,0.0,1
0,0,0,0.0,0
1,1,1,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
3,2,2,1.0,0
1,1,1,0.0,0
2,3,3,0.0,0
1,0,1,1.0,0
2,3,3,0.0,1
1,0,0,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
5,2,3,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,6,6,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
1,3,3,0.0,1
0,0,0,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
5,4,5,1.0,1
0,1,1,0.0,0
1,1,1,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,4,4,0.0,0
1,2,3,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,1,0,0.0,0
4,4,4,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
4,4,4,0.0,2
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
6,5,5,0.0,0
1,0,0,1.0,0
0,1,1,0.0,0
2,2,2,0.0,0
1,4,4,0.0,0
0,0,0,0.0,0
8,4,5,1.0,0
1,1,1,0.0,0
2,2,2,0.0,0
2,3,3,0.0,0
1,3,3,0.0,0
0,0,0,0.0,0
3,0,1,1.0,0
1,1,1,1.0,1
0,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
4,4,4,0.0,0
3,0,1,1.0,0
3,3,3,0.0,0
1,2,2,0.0,1
1,1,1,0.0,0
0,0,0,0.0,0
3,3,4,2.0,1
3,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
6,5,5,0.0,1
1,2,2,0.0,0
2,3,3,0.0,0
2,2,2,0.0,0
2,2,2,0.0,0
1,0,0,1.0,0
3,3,3,0.0,1
0,0,0,0.0,0
0,2,2,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,3,4,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,3,3,1.0,0
1,3,3,0.0,0
1,2,1,0.0,0
1,0,1,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
3,4,4,0.0,3
0,0,0,0.0,0
0,1,1,0.0,0
1,1,2,1.0,0
1,4,4,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,4,4,1.0,0
0,0,0,0.0,0
4,5,5,0.0,1
0,1,1,1.0,0
0,0,0,1.0,0
8,7,7,0.0,1
0,3,3,0.0,0
0,0,0,0.0,0
4,1,3,2.0,0
0,0,0,0.0,0
2,9,9,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
2,1,2,1.0,0
1,2,2,0.0,0
2,2,2,0.0,0
2,2,2,0.0,0
0,1,1,0.0,0
2,2,2,0.0,0
2,1,2,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,5,6,1.0,0
1,5,5,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
4,3,3,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
2,2,2,0.0,1
1,1,1,0.0,0
0,1,0,0.0,0
1,0,1,2.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
0,1,1,0.0,0
3,0,1,1.0,0
1,1,1,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
5,3,4,1.0,1
2,4,4,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
1,1,1,0.0,0
8,7,7,0.0,1
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
1,4,4,1.0,0
2,5,5,0.0,0
1,0,1,1.0,0
3,2,2,0.0,0
0,0,0,0.0,0
2,1,2,0.0,1
0,0,0,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
1,1,2,1.0,1
3,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,1,0,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
3,3,2,0.0,0
0,1,1,0.0,0
3,2,2,0.0,0
4,4,4,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
3,3,3,2.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,3,3,0.0,0
1,1,1,0.0,0
2,2,2,0.0,0
1,1,1,1.0,1
0,0,0,0.0,0
1,1,1,0.0,0
1,3,3,0.0,0
3,6,6,0.0,3
1,2,2,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
3,2,2,0.0,0
0,0,0,1.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,0,1,1.0,0
1,4,4,0.0,0
3,5,5,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
0,0,1,2.0,0
0,0,0,0.0,0
1,2,2,0.0,1
1,1,1,0.0,0
0,3,3,0.0,0
0,2,2,0.0,0
1,2,2,0.0,0
1,2,2,0.0,0
0,2,2,0.0,0
1,4,4,1.0,0
2,2,2,0.0,0
0,3,3,1.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,3,3,0.0,0
1,1,1,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,3,2,0.0,0
3,3,3,0.0,1
1,1,1,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
3,2,2,1.0,1
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,3,3,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
2,2,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,3,3,0.0,1
0,1,1,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,2,1.0,0
1,0,1,0.0,0
1,2,2,0.0,0
1,0,0,1.0,0
1,0,0,1.0,0
0,1,0,0.0,0
0,1,1,0.0,0
3,1,2,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,2,2,0.0,1
4,3,3,0.0,0
0,1,1,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,4,4,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,1.0,0
0,1,1,0.0,0
5,4,4,0.0,0
7,3,4,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,1,0,0.0,0
0,1,1,0.0,0
3,0,2,2.0,0
1,3,3,0.0,0
0,1,0,0.0,0
0,1,0,0.0,0
5,4,4,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,1,1.0,0
2,3,3,0.0,2
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,3,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
0,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
1,3,3,0.0,1
3,4,4,1.0,1
0,0,0,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,1,2,1.0,0
4,4,5,1.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
2,3,3,0.0,1
2,2,2,0.0,0
0,0,0,0.0,0
1,2,1,1.0,0
1,0,1,1.0,0
2,3,2,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
1,4,4,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,1
0,1,2,0.0,0
0,5,5,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,1,2,2.0,1
6,7,7,1.0,1
3,5,5,0.0,1
0,0,1,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
3,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,1,1,1.0,0
2,2,3,1.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,2,1,0.0,0
2,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,1,1,0.0,0
1,4,3,0.0,0
1,2,2,0.0,0
5,5,5,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,1,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,5,5,0.0,0
1,0,0,1.0,0
1,1,1,0.0,0
1,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,5,5,0.0,0
0,2,1,0.0,0
0,0,0,0.0,0
1,1,1,2.0,0
0,0,0,0.0,0
1,3,3,0.0,1
3,4,5,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,2,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
2,3,3,0.0,1
0,1,1,1.0,0
0,0,0,0.0,0
0,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,2,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,3,3,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,1,2,1.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,3,3,0.0,0
4,4,3,1.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,1.0,0
4,3,3,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,1,0,0.0,0
1,0,1,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
3,2,2,0.0,0
0,2,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,1,1,0.0,0
0,1,0,0.0,0
3,4,4,0.0,1
0,0,0,0.0,0
1,2,2,0.0,1
0,4,4,0.0,0
1,1,1,0.0,0
1,3,3,0.0,0
2,4,4,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,1,2,1.0,2
3,0,1,1.0,0
1,1,1,0.0,0
2,2,2,0.0,0
0,3,3,0.0,0
0,1,0,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
4,7,7,0.0,1
2,0,1,1.0,0
1,1,1,0.0,0
1,0,1,1.0,0
0,0,0,0.0,0
3,5,5,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
3,5,5,0.0,0
4,4,4,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
2,3,3,0.0,0
0,1,1,0.0,0
2,2,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,1,1,1.0,1
0,2,1,0.0,0
1,1,2,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,2,1,1.0,0
1,0,1,2.0,1
1,1,1,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,2,3,2.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
1,2,2,0.0,2
0,0,0,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,3,4,0.0,1
3,2,2,0.0,0
5,6,6,0.0,1
1,1,1,0.0,0
0,1,1,0.0,0
5,3,3,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
2,2,1,0.0,0
0,0,0,0.0,0
1,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
5,4,4,0.0,0
0,2,3,1.0,0
2,3,3,0.0,0
1,1,1,0.0,0
2,2,2,0.0,0
3,2,2,0.0,0
2,2,1,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,1,1.0,0
0,0,0,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,0,1,1.0,0
0,0,0,1.0,0
3,2,2,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
2,6,6,0.0,0
1,1,2,2.0,2
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,2,2,0.0,0
1,1,1,0.0,0
2,2,2,0.0,1
0,0,0,0.0,0
1,2,2,0.0,1
4,3,3,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
6,4,4,0.0,0
0,1,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
4,5,5,0.0,0
0,0,0,0.0,0
3,0,1,1.0,0
1,1,1,0.0,0
3,3,2,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,1,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,1,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
5,4,5,2.0,3
0,1,1,0.0,0
2,4,4,0.0,1
1,0,0,1.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,1,1.0,0
0,2,2,0.0,0
3,5,5,0.0,1
3,4,5,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,2,0.0,0
0,0,0,0.0,0
6,2,3,1.0,0
2,3,2,0.0,0
1,2,2,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
4,2,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
5,4,4,0.0,1
0,1,1,0.0,0
1,0,0,2.0,1
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,1.0,0
2,6,6,0.0,0
0,2,1,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
0,4,5,1.0,0
2,2,2,0.0,1
0,0,0,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,2,2,0.0,0
1,2,2,0.0,0
1,0,1,1.0,1
2,3,3,1.0,0
2,3,3,0.0,0
0,0,0,0.0,0
4,2,3,1.0,1
2,2,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
2,2,2,0.0,1
4,8,8,1.0,0
2,4,4,0.0,0
0,1,0,0.0,0
3,2,2,0.0,0
0,2,2,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
2,4,4,1.0,0
4,1,2,1.0,0
0,0,0,0.0,0
0,2,2,0.0,1
0,0,0,0.0,0
2,2,2,0.0,0
0,4,6,2.0,0
0,1,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
4,2,2,1.0,0
1,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,0,2,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
6,4,5,1.0,0
2,2,3,1.0,0
0,1,1,0.0,0
2,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,4,4,0.0,1
0,0,0,1.0,0
0,0,0,0.0,0
1,1,2,1.0,0
1,1,1,0.0,0
2,6,6,1.0,1
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,3,3,0.0,0
5,5,5,0.0,1
0,1,1,0.0,0
0,1,1,1.0,0
3,1,2,0.0,0
2,2,3,1.0,0
0,0,0,0.0,0
1,3,4,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
0,2,2,0.0,0
3,6,6,0.0,1
2,0,1,1.0,0
1,1,1,0.0,0
1,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,2,2.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,3,3,0.0,0
3,2,2,1.0,0
0,0,0,0.0,0
3,1,1,2.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,2,1,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
1,2,2,0.0,1
0,0,0,0.0,0
1,5,5,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
0,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,2,3,1.0,1
1,1,1,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,0,1,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
2,4,4,0.0,1
0,0,0,0.0,0
1,1,1,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
3,4,4,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
2,1,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,1,1.0,1
2,2,1,0.0,0
0,0,0,0.0,0
4,7,7,0.0,2
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,1,0.0,0
2,2,2,0.0,1
0,4,3,0.0,0
4,4,4,0.0,0
4,6,6,0.0,1
1,1,2,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
1,1,2,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
2,2,1,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,2,1.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
4,3,3,0.0,0
1,2,2,0.0,0
1,2,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
5,7,7,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,4,4,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
1,2,1,0.0,0
0,1,1,0.0,0
1,2,2,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
1,0,1,1.0,1
3,4,4,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
1,0,0,1.0,0
1,1,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,3,2,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
2,2,2,0.0,0
0,0,0,1.0,0
0,0,1,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
8,5,5,1.0,0
0,1,1,0.0,0
2,2,2,1.0,1
0,0,0,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
1,0,1,1.0,0
1,1,1,0.0,0
3,2,2,0.0,0
2,0,1,1.0,0
1,1,1,0.0,0
0,3,3,0.0,0
1,3,3,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,1.0,0
0,2,3,1.0,0
0,0,0,0.0,0
3,5,5,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,0,0,2.0,0
3,3,3,0.0,0
4,3,4,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
2,1,1,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,2,3,1.0,0
3,1,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,0,0,1.0,0
2,2,2,0.0,0
1,2,2,0.0,0
0,6,6,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,5,5,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
1,1,1,0.0,0
0,1,2,0.0,0
2,2,1,0.0,0
1,2,1,0.0,0
0,0,0,0.0,0
2,3,3,0.0,1
2,2,2,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,4,5,0.0,1
0,0,0,0.0,0
1,1,1,1.0,1
0,0,0,0.0,0
1,0,0,1.0,0
1,1,1,0.0,0
2,3,3,0.0,0
0,0,0,0.0,0
2,1,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,1,1.0,0
0,0,0,0.0,0
3,2,2,0.0,0
2,2,1,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,1,1,1.0,0
1,1,1,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,4,4,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
4,6,6,0.0,3
0,0,0,0.0,0
0,0,0,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
7,11,11,0.0,0
1,1,1,0.0,0
2,3,4,0.0,1
0,0,0,0.0,0
0,1,1,0.0,0
0,1,0,0.0,0
2,3,3,0.0,2
0,0,0,0.0,0
4,1,2,1.0,0
1,1,1,0.0,0
1,0,0,1.0,0
2,2,3,0.0,0
0,1,1,0.0,0
2,2,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,4,4,0.0,0
1,3,3,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,3,2,0.0,0
0,0,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
